"project_ID","Project Description","Allocations for Gender Equality","Expected Outcomes","Internal DP Activity IDs","Final Project Results","Activity Created By","Activity Created On","Activity updated by","Activity updated on","Date of Signed Agreement","Proposed Completion Date","Proposed Start Date","Implementation Level","Country","District","SubDistrict","Suco","Donor Group","Donor Type","Aid Modality","Appropriation Category (Only for Actual Disbursements)","Type Of Assistance","Executing Agency","Executing Agency Groups","Implementing Agency","Implementing Agency Groups","RDTL Beneficiary Institutions","RDTL Beneficiary Institution Divisions","RDTL Beneficiary Agency Division COA","Strategic Development Plan Pillars","Strategic Development Plan Sub-Pillars","Structures Column"
"87292481501","NZ Customs provided Timor-Leste Customs with officers for technical assistance and training to upgrade the capacity of the department in the following areas:  1. To help Timor-Leste Customs Service to access World Customs Organization's resources and assi"," ","Enhance the capability of the Timor-Leste Customs service to ensure trade compliance and to target trade violations while facilitating the flow of legitimate trade.",""," ","NZ User (nzaid@amp.org)","11/11/2011","GS NDAE (gsndae@amp.org)","10/10/2013","","","","National","Timor-Leste"," "," "," ","New Zealand","Bilateral","Project Support"," - Appropriation Category Unallocated
 - Goods or Services
 - Salaries and Wages","Grant"," - New Zealand Aid Programme, Ministry of Foreign Affairs and Trade
 - New Zealand Customs Service","New Zealand","New Zealand Customs Service","New Zealand","Ministry of Finance","Ministry of Finance - National Directorate of Customs","220603"," - INSTITUTIONAL FRAMEWORK
 - SOCIAL CAPITAL"," - EDUCATION AND TRAINING
 - PUBLIC SECTOR MANAGEMENT AND GOOD GOVERNANCE"," "
"87292191166"," "," "," ","FED/2011/278-318 (European Union)"," ","European Commission User (ec@amp.org)","27/07/2011","GS NDAE (gsndae@amp.org)","10/10/2013","","","","District Level","Timor-Leste","Dili","Vera Cruz"," ","European Commission","Multilateral","Project Support","Appropriation Category Unallocated","Grant","National Authorizing Officer","RDTL Line Ministry"," "," ","Ministry of Finance","Unit Management of Development Partnerships","220806","INSTITUTIONAL FRAMEWORK","PUBLIC SECTOR MANAGEMENT AND GOOD GOVERNANCE","Dili"
"87292431637","To provide the necessary capacity building for improving coordination, strengthen the capacity of the Technical Office of the Interministerial Commission for Rural Developement and carry out the overall supervision of RDP IV."," "," "," ","Through the envisaged service contract between the National Authorising Officer (NAO) and a body governed by private law, in accordance with contract procedures for EU external actions, a Programme Coordination Unit will be established within existing Gov","European Commission User (ec@amp.org)","07/03/2012","GS NDAE (gsndae@amp.org)","10/10/2013","05/09/2011","","","District Level","Timor-Leste","Dili","Vera Cruz"," ","European Commission","Multilateral","Project Support","Appropriation Category Unallocated","Grant","European Union","European Commission","Egis Bceom International SA","Private","Ministry of Finance","Unit Management of Development Partnerships","220806","ECONOMIC DEVELOPMENT","RURAL DEVELOPMENT","Dili"
"87292534326"," "," ","6 ambulances for the Ministry of Health",""," ","China User (china@amp.org)","10/06/2013","GS NDAE (gsndae@amp.org)","10/10/2013","","16/01/2013","","National","Timor-Leste"," "," "," ","China","Bilateral","Project Support","Capital Development","Grant","The People's Republic of China","China","Ministry of Commerce, China","China","Ministry of Health","Ministry of Health - National Directorate Administration, Logistics and Procurement","250106","SOCIAL CAPITAL","HEALTH"," "
"87292455342","Curso para obtenção do Diploma de Especialização em Políticas do Ambiente. O curso incide sobre a análise dos instrumentos para a aplicação e desenvolvimento das políticas de ambiente e para a avaliação dessas políticas. São focados temas em desenvolvimen"," ","Criar competências no domínio da aplicação e desenvolvimento das políticas de ambiente e na integração das questões ambientais nas políticas públicas e nos projetos de desenvolvimento."," "," ","Portugal User (portugal@amp.org)","10/10/2013","Portugal User (portugal@amp.org)","19/12/2013","","","","National","Timor-Leste"," "," "," ","Portugal","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Portugal","Portugal"," "," "," "," "," ","SOCIAL CAPITAL","ENVIRONMENT"," "
"87292191251","Access to Justice and Legislative Development Program is designed to make timely and tailored contributions to progress in the justice sector."," ","Increase rural citizens' access to legal information and legal aid and improve the quality of informal dispute resolution or mediation.","","U.S. supported the Office of the Public Defender provide justice needs to rural citizens, and supported legal aid organizations managed 846 new clients (56% women), of which roughly 64% of the cases resulted in litigation. A comparison of cases from 2007 ","AMP Project Manager (atl@amp.org)","02/08/2011","GS NDAE (gsndae@amp.org)","10/10/2013","30/09/2002","","","District Level","Timor-Leste"," - Aileu
 - Ainaro
 - Baucau
 - Bobonaro
 - Cova Lima
 - Dili
 - Ermera
 - Lautem
 - Liquica
 - Manatuto
 - Manufahi
 - Oecussi
 - Viqueque"," - Aileu
 - Baguia
 - Barique
 - Hatu Builico
 - Lospalos
 - Maliana
 - Maubara
 - Nein Feto
 - Nitibe
 - Railaco
 - Same
 - Suai
 - Viqueque"," ","United States","Bilateral","Project Support","Appropriation Category Unallocated","Grant","United States Agency for International Development","United States","Asia Fondation","International NGO","Ministry of Justice","Ministry of Justice - Judicial Advice  and Legislation","240107","INSTITUTIONAL FRAMEWORK","JUSTICE"," "
"87292404977","The project aims to reinforce the pires and abutments of the existing bridge against scour and to reconstruct the concrete revetments in consideration of the tractive force of the river as well as flood flow impacts, so that the traffic function of the na"," ","To protect existing abutments and piers of Mola Bridge as well as to conduct river protection work."," ","Under preparation","JICA User (jica@amp.org)","15/08/2013","GS NDAE (gsndae@amp.org)","11/10/2013","15/08/2013","","15/08/2013","District Level","Timor-Leste","Cova Lima","Zumalai"," ","Japan","Bilateral","Project Support","Capital Development","Grant","Japan International Cooperation Agency","Japan","Japan International Cooperation Agency","Japan","Ministry of Public Works","Ministry of Public Works - National Directorate of Roads, Bridges and Floods Control Services","300605","INFRASTRUCTURE DEVELOPMENT","ROADS AND BRIDGES","Mota Mola"
"87292191148","Expenses related to the management of AusAID programs. AusAID initiative INI842, INI843,INJ538 AND INJ547."," ","n/a contributes to all objectives"," "," ","AMP Project Manager (atl@amp.org)","24/07/2011","GS NDAE (gsndae@amp.org)","11/10/2013","","","","National","Timor-Leste"," "," "," ","Australia","Bilateral","Project Support","Goods or Services","Grant","DFAT - Australian Aid Program","Australia","DFAT - Australian Aid Program","Australia","Ministry of State Administration","Office fo the Director General","270501"," - ECONOMIC DEVELOPMENT
 - INFRASTRUCTURE DEVELOPMENT
 - INSTITUTIONAL FRAMEWORK
 - SOCIAL CAPITAL"," "," "
"87292404350","Provide training courses to auto mechanics"," ","To develop the skills of auto mechanics","","Ongoing","JICA User (jica@amp.org)","13/06/2013","GS NDAE (gsndae@amp.org)","11/10/2013","18/02/2013","18/12/2013","18/02/2013","District Level","Timor-Leste","Dili","Vera Cruz"," ","Japan","Bilateral","Project Support","Goods or Services","Grant","Japan Demining and Reconstruction Assistance Center","Japan","Japan Demining and Reconstruction Assistance Center","Japan","Officer of the Vice Prime Minister, Coordinator of Social Affairs - Secretary of State for Professional Training and Employment Policy","Secretariat of State for Vocational Training Policy and Employment - DG- SEFOPE","230103","SOCIAL CAPITAL","EDUCATION AND TRAINING","Dare"
"872921011824","Strengthen Government capacity to complete PPPs, improve quality of PPPs."," ","Defined list of PPP priorities, target transactions, support to regulation"," ","PPP policy drafted, passed by CoM. Long list of infrastructure projects refined, top five projects assigned to ADB and IFC. Port and Airport feasibility studies completed, Government Building case dropped.","GS NDAE (gsndae@amp.org)","30/04/2012","GS NDAE (gsndae@amp.org)","11/10/2013","","","01/04/2010","National","Timor-Leste"," "," "," ","World Bank Group","Multilateral","Project Support","Appropriation Category Unallocated","Grant","International Finance Corporation","World Bank Group","International Finance Corporation","World Bank Group","Ministry of Finance","Ministry of Finance - National Directorate of Planning and Aid Efectiveness","320702"," - ECONOMIC DEVELOPMENT
 - INSTITUTIONAL FRAMEWORK"," - PRIVATE SECTOR INVESTMENT
 - PUBLIC SECTOR MANAGEMENT AND GOOD GOVERNANCE"," "
"87292821859","The project aims to encourage and promote sustainable, quality and nutritious food production in the vulnerable communities located in the Seiçal river basin in Baucau district, in order to promote improvements in diets and quality nutrition of rural and "," ","Outcome 1. Promotion and support production of stable corps such as rice and corn; Outcome 2. Promotion of food production diversification through the spread of vegetables production setting up of house and school gardens; Outcome 3. Improvement of the li","","Inmproved agriculture production and nutritional status of housholds beneficiaries","FAO User (fao@amp.org)","03/05/2012","GS NDAE (gsndae@amp.org)","16/10/2013","","","","District Level","Timor-Leste","Baucau"," "," ","Spain","Bilateral","Project Support"," - Appropriation Category Unallocated
 - Goods or Services
 - Minor Capital
 - Salaries and Wages","Grant","Food and Agriculture Organization","United Nations","Food and Agriculture Organization","United Nations","Ministry of Agriculture and Fisheries","Ministry Agriculture & Fisheries - Directorate Agricultural Services in the District of Baucau","321903","ECONOMIC DEVELOPMENT","AGRICULTURE"," "
"87292531888","Provide 50000 sets of blankets to Timorese people"," ","provide blankets for those people in poverty","","People get blankets","China User (china@amp.org)","10/05/2012","GS NDAE (gsndae@amp.org)","16/10/2013","","","","National","Timor-Leste"," "," "," ","China","Bilateral","Project Support","Capital Development","Grant","The People's Republic of China","China","The People's Republic of China","China","Ministry of Social Solidarity","Ministry of Social Solidarity - National Directorate of Social Assistance","290801","SOCIAL CAPITAL","SOCIAL INCLUSION"," "
"87292531887","Provide 8500 tons of rice to Timorese people"," ","provide food aid to Timorese people in Emergency","","Timorese people get food aid","China User (china@amp.org)","10/05/2012","GS NDAE (gsndae@amp.org)","16/10/2013","","","","National","Timor-Leste"," "," "," ","China","Bilateral","Project Support","Capital Development","Grant","The People's Republic of China","China","The People's Republic of China","China","Ministry of Social Solidarity","Ministry of Social Solidarity - National Directorate of Social Assistance","290801","SOCIAL CAPITAL","HEALTH"," "
"87292401596","dispatch of advisor"," ","To advise policies for promotion of the community policing"," ","conducted workshops, compile the suggestions","JICA User (jica@amp.org)","06/03/2012","GS NDAE (gsndae@amp.org)","16/10/2013","01/11/2011","","","District Level","Timor-Leste","Dili","Vera Cruz"," ","Japan","Bilateral","Project Support","Goods or Services","Grant","Japan International Cooperation Agency","Japan","Japan International Cooperation Agency","Japan","National Police of Timor-Leste","Ministry of Defense and Security - National Directorate for the Prevention of Community Conflict ","210408"," - INSTITUTIONAL FRAMEWORK
 - SOCIAL CAPITAL"," - SECURITY
 - SOCIAL INCLUSION","Caicoli"
"87292401677","dispatch of advisor"," ","To advise on the practice of community policing activities"," ","conducted workshops, compile the suggestions","JICA User (jica@amp.org)","09/03/2012","GS NDAE (gsndae@amp.org)","16/10/2013","01/11/2011","23/12/2011","08/11/2011","District Level","Timor-Leste","Dili","Vera Cruz"," ","Japan","Bilateral","Project Support","Goods or Services","Grant","Japan International Cooperation Agency","Japan","Japan International Cooperation Agency","Japan"," - Ministry of Defence and Security
 - National Police of Timor-Leste","Ministry of Defense and Security - National Directorate for the Prevention of Community Conflict ","210408","INSTITUTIONAL FRAMEWORK","SECURITY","Caicoli"
"87292431577","The objective of the study is to define areas of intervention and to assess the relevance and feasibility of the relevant actions."," "," ","FED/2010/229-219 (European Union)","Appraisal study to define programmes/projects under 10th EDF for Sustainable Rural Development in the Democratic Republic Timor-Leste","European Commission User (ec@amp.org)","05/03/2012","GS NDAE (gsndae@amp.org)","16/10/2013","31/12/2009","","","National","Timor-Leste"," "," "," ","European Commission","Multilateral","Project Support","Appropriation Category Unallocated","Grant","European Union","European Commission","Agriconsulting Europe SA","Private"," - Ministry of Finance
 - Ministry of State Administration","Unit Management of Development Partnerships","220806","ECONOMIC DEVELOPMENT","RURAL DEVELOPMENT"," "
"87292811833","The violence of 2006 and 2007 caused the displacement of up to 150,000 people to makeshift camps across the country, and the destruction of over 8,000 houses in the capital Dili. The Government's response, the National Recovery Strategy, included the prov"," ","In order to finalise the Government's National Recovery Strategy in response to the 2006/7 crisis, IOM proposes to provide technical support to the Ministry of Social Solidarity. A residual caseload of 5000 IDPs still require processing in a fair and tran"," ","Successful completion of HHU within four months:  - Completion of payments for 1,727 cases out of 6,500 verified cases  - Upgraded IDP database and digitised over 20,000 IDP files. Each file corresponds to a specific case, which could have been eligible o","IOM User (iom@amp.org)","30/04/2012","GS NDAE (gsndae@amp.org)","16/10/2013","06/10/2010","","","District Level","Timor-Leste","Dili"," "," ","International NGO","NGO","Project Support"," - Appropriation Category Unallocated
 - Goods or Services
 - Minor Capital
 - Salaries and Wages","Grant","International Organization for Migration","International NGO","International Organization for Migration","International NGO","Ministry of Social Solidarity","Ministry of Social Solidarity - National Directorate of Social Assistance","290801","SOCIAL CAPITAL","SOCIAL INCLUSION"," "
"87292671715","The aim of the project is to promote disability prevention through nutrition and health education training for 80 midwives and nurses and 30 volunteers to develop early detection, stimulation, intervention and education for children under five in two dist"," ","To improve capacity and skills of midwives and nurses in two districts. To improve the conditions and rehabilitation services for children with disabilities and children with delayed development. To provide assistance for children with disabilities and th",""," ","Finland User (finland@amp.org)","22/03/2012","GS NDAE (gsndae@amp.org)","16/10/2013","07/07/2009","","","District Level","Timor-Leste"," - Baucau
 - Lautem
 - Viqueque"," "," ","Finland","Bilateral","Project Support","Appropriation Category Unallocated","Grant","NGO KATILOSA","International NGO","NGO KATILOSA","International NGO","Ministry of Health"," "," ","SOCIAL CAPITAL"," - EDUCATION AND TRAINING
 - HEALTH
 - SOCIAL INCLUSION"," "
"87292191424"," "," ","Improve the living condition of F-FDTL",""," ","AMP Project Manager (atl@amp.org)","02/10/2011","GS NDAE (gsndae@amp.org)","16/10/2013","","","","National","Timor-Leste"," "," "," ","China","Bilateral","Project Support","Appropriation Category Unallocated","Grant","The People's Republic of China","China","The People's Republic of China","China","Ministry of Defence and Security","Ministry of Defence and Security - National Directorate of Procurement","210206","INSTITUTIONAL FRAMEWORK","DEFENCE"," "
"87292501836","The project was to undertake a situational-response analysis assessment of the education sector's response on HIV- sexual health and drugs in Timor-Leste. The assessment will build upon the development of programmatic responses to the issues of HIV, sexua"," ","Strengthened knowledge of the Ministry of Education of Timor-Leste on the country's education sector's response to HIV, drugs and sexual health.","","A final published report on the situational-response analysis of the education sector's response on HIV, sexula health and drugs in Timor-Leste.","UNESCO User (unesco@amp.org)","30/04/2012","GS NDAE (gsndae@amp.org)","16/10/2013","","","","National","Timor-Leste"," "," "," ","United Nations","Multilateral","Project Support","Appropriation Category Unallocated","Grant","United Nations Educational, Scientific and Cultural Organization","United Nations","United Nations Educational, Scientific and Cultural Organization","United Nations","Ministry of Education","Ministry of Education - National Directorate of Administration and Finance","260407","SOCIAL CAPITAL","EDUCATION AND TRAINING"," "
"87292391461","The Project will continue to develop organisational capacity at the national-level. Phase II will benefit from a more concerted focus on strengthening coordination of sub-national DRR development and linkages between the district and national levels. The "," ","Phase IIbuilds on Phase I implemented between May 2008 and October 2009, and intends to consolidate the gains made, as well as expand and refine the focus of activities with regards to institutional strengthening of natiohnal and district Government bodie"," ","Increased capacity of Government at the national and sub-national levels to coordinate and manage the preparedness, mitigation, response and recovery aspects of disaster risk management","AusAid User (ausaid@amp.org)","24/10/2011","GS NDAE (gsndae@amp.org)","16/10/2013","","","","District Level","Timor-Leste"," - Aileu
 - Ainaro
 - Baucau
 - Bobonaro
 - Dili
 - Ermera
 - Lautem
 - Manufahi
 - Oecussi
 - Viqueque"," "," ","Australia","Bilateral","Project Support"," - Appropriation Category Unallocated
 - Capital Development
 - Goods or Services
 - Minor Capital
 - Salaries and Wages","Grant","International Organization for Migration","International NGO"," - CVTL
 - Catholic Relief Services
 - HIVOS
 - International Organization for Migration
 - Save the Children
 - TROCAIRE"," - Domestic NGO
 - International NGO","Ministry of Social Solidarity","Ministry of Social Solidarity - National Directorate of Social Assistance","290801","SOCIAL CAPITAL"," - EDUCATION AND TRAINING
 - SOCIAL INCLUSION"," "
"87292191394"," "," ","Training of 8 instructors and 120 DNSEP security agents",""," ","AMP Project Manager (atl@amp.org)","22/09/2011","GS NDAE (gsndae@amp.org)","18/10/2013","","01/12/2010","01/09/2008","District Level","Timor-Leste","Dili"," "," ","France","Bilateral","Project Support"," - Appropriation Category Unallocated
 - Goods or Services","Grant"," "," "," "," ","Ministry of Defence and Security - Secretary of State for Security","Ministry of Defense and Security - National Directorate for Public Building Security","210407"," - INSTITUTIONAL FRAMEWORK
 - SOCIAL CAPITAL"," - EDUCATION AND TRAINING
 - SECURITY"," "
"87292191393"," "," "," "," "," ","AMP Project Manager (atl@amp.org)","22/09/2011","GS NDAE (gsndae@amp.org)","18/10/2013","","","","District Level","Timor-Leste","Dili"," "," ","France","Bilateral","Project Support"," - Appropriation Category Unallocated
 - Goods or Services","Grant"," "," "," "," ","Presidency of the Council of Ministers - Secretary of State for Media","Office of the Prime Minister - Directorate of documents and archives","30116","SOCIAL CAPITAL","CULTURE AND HERITAGE"," "
"87292644051","Support to the Maritime Transport Sector"," ","Provision of a vessel for the securing of the connection of the capital Dili with the enaclave Oecussi and the island Atauro as well as the required landing stages which contributes to economic development","","Regular ferry service between Dili, Oecussi and Atauro","Germany User (giz@amp.org)","13/02/2013","Germany User (giz@amp.org)","21/10/2013","07/06/2004","","","District Level","Timor-Leste"," - Dili
 - Oecussi"," "," ","Germany","Bilateral","Project Support"," - Appropriation Category Unallocated
 - Capital Development
 - Goods or Services
 - Salaries and Wages","Grant","Ministry of Transport and Communications - APORTIL Self Funded Agency","RDTL Line Ministry Division","KfW","Germany","Ministry of Transportation and Communication","Ministry of Transport and Communications - APORTIL Self Funded Agency","310701","INFRASTRUCTURE DEVELOPMENT"," "," "
"87292821847"," "," ","Output1. develop and promte co-management mechanisms for sustainable utilization of fishery resources; Outut 2. promote measures to improve safety and reduce vulnerability for fisher communities; Output 3. promote measures for improved quality of fishery "," ","Fishing communities get involved in fisheries management and improve their income thgough selling safer and better quality fish products and fisheries management institutions improve their capacity to manage the fishery.","FAO User (fao@amp.org)","02/05/2012","FAO User (fao@amp.org)","23/10/2013","01/10/2008","01/08/2013","","District Level","Timor-Leste"," - Baucau
 - Bobonaro
 - Cova Lima
 - Dili
 - Liquica
 - Oecussi","Atauro"," ","Spain","Bilateral","Program Support"," - Appropriation Category Unallocated
 - Capital Development
 - Goods or Services
 - Minor Capital
 - Salaries and Wages","Grant","Food and Agriculture Organization","United Nations","Food and Agriculture Organization","United Nations","Ministry of Agriculture and Fisheries","Ministry Agriculture & Fisheries - National Directorate of Fisheries and Aqriculture","321601","ECONOMIC DEVELOPMENT"," "," "
"87292441821","MDG is a joint programme between UN agencies (UNICEF, WFP, FAO and WHO ) with the Government of Timor-Leste and is in line with the government's strategies, plans and goals. Specifically, the Ministry of Healt and Ministry of Agriculture and fisheries are"," ","1. Improve health and nutritional status of pregnant and lactating women and under five children 2. Facilitate the establishment of fortified blended food facility 3. Provide nutrition training in schools where school gardens are being implemented"," - MAFRD (Ministry of Agriculture and Fisheries)
 - MOE (Ministry of Education)
 - MOH (Ministry of Health)
 - WFP (World Food Program)","1. Increased production, availability and consumption of micro-nutrient - rich foods among women and children in 4 districts (Aileu, Baucau, Manatuto and Oecusse)  2. Increased nutrition education in schools and communities through introduction of school ","WFP User (wfp@amp.org)","29/04/2012","WFP User (wfp@amp.org)","24/10/2013","","31/12/2013","","District Level","Timor-Leste"," - Aileu
 - Baucau
 - Manatuto
 - Oecussi"," "," ","Spain","Bilateral","Project Support","Goods or Services","Grant","World Food Program","United Nations"," - Ministry of Agriculture and Fisheries
 - Ministry of Education
 - Ministry of Health","RDTL Line Ministry"," - Ministry of Agriculture and Fisheries
 - Ministry of Health","Ministry Agriculture & Fisheries - National Directorate of Policy and Planning","321101","SOCIAL CAPITAL","HEALTH"," "
"872921015403","Approximately 42,000 drums will be purchased/manufactured and distributed to targeted households in 5 districts.   The TLMSP will initially target the economically active poor (households which produce a minimum of 150kg of maize per year) in Aileu, (Year"," ","Purchase/Manufacture of Maize Storage Drums Maize storage drums procured and/or manufactured locally Distribution of 200l Maize Storage Drums Maize storage drums distributed and used effectively Project Management and Coordination Efficient project manage"," "," ","GS NDAE (gsndae@amp.org)","25/10/2013","IFAD IFAD (ifad@ifad.org)","25/10/2013","14/05/2012","14/05/2015","01/10/2012","District Level","Timor-Leste"," - Aileu
 - Ainaro
 - Manatuto
 - Manufahi
 - Viqueque"," "," ","United Nations","Multilateral","Project Support","Appropriation Category Unallocated","Grant","International Fund for Agricultural Development","United Nations","Ministry of Agriculture and Fisheries","RDTL Line Ministry","Ministry of Agriculture and Fisheries"," "," ","ECONOMIC DEVELOPMENT"," - AGRICULTURE
 - RURAL DEVELOPMENT"," "
"87292505405"," "," "," "," "," ","UNESCO User (unesco@amp.org)","25/10/2013","UNESCO User (unesco@amp.org)","30/10/2013","01/01/2013","31/12/2013","","Both","Timor-Leste"," "," "," ","United Nations","Multilateral","Project Support","Goods or Services","Grant","United Nations Educational, Scientific and Cultural Organization","United Nations"," "," ","Ministry of Tourism - Secretary of State for Art and Culture"," "," ","SOCIAL CAPITAL","CULTURE AND HERITAGE"," "
"87292505406"," "," "," "," "," ","UNESCO User (unesco@amp.org)","25/10/2013","UNESCO User (unesco@amp.org)","30/10/2013","01/01/2013","31/12/2013","","Both","Timor-Leste"," "," "," ","United Nations","Multilateral","Project Support","Goods or Services","Grant","United Nations Educational, Scientific and Cultural Organization","United Nations"," "," ","Ministry of Tourism - Secretary of State for Art and Culture"," "," ","SOCIAL CAPITAL","CULTURE AND HERITAGE"," "
"87292505407"," "," "," ",""," ","UNESCO User (unesco@amp.org)","25/10/2013","UNESCO User (unesco@amp.org)","30/10/2013","01/01/2013","31/12/2013","","Both","Timor-Leste"," "," "," ","United Nations","Multilateral","Project Support","Appropriation Category Unallocated","Grant"," "," "," "," ","Ministry of Tourism - Secretary of State for Art and Culture"," "," ","SOCIAL CAPITAL","CULTURE AND HERITAGE"," "
"87292505408"," "," "," ",""," ","UNESCO User (unesco@amp.org)","25/10/2013","UNESCO User (unesco@amp.org)","30/10/2013","01/01/2013","31/12/2013","","District Level","Timor-Leste","Lautem"," "," ","United Nations","Multilateral","Project Support","Goods or Services","Grant","United Nations Educational, Scientific and Cultural Organization","United Nations"," "," ","Ministry of Tourism - Secretary of State for Art and Culture"," "," ","SOCIAL CAPITAL","CULTURE AND HERITAGE"," "
"87292191287","This project contributes to local food security. By concentrating on perennial crops and livestock. It provides income for producers that can cushion families in low production years."," ","'1). Improve food security 2). Increase Incomes for Rural Households 3). Reduce Environmental Degradation & Protect Natural Resources 4). Continuation & Development of Rural Health Care Services 5). Build Human ResourcesCapacity"," ","'- 291,000 coffee trees pruned with a 100 percent survival rate  - 26 farmer owned nurseries have been established  - 150,000 coffee seedlings have been produced and distributed to 1,400 farmers with 93 percent survival rate  - 1,740 farmers have undertak","AMP Project Manager (atl@amp.org)","07/08/2011","USAID User (usaid@amp.org)","28/10/2013","","","","District Level","Timor-Leste"," - Aileu
 - Baucau
 - Bobonaro
 - Cova Lima
 - Dili
 - Ermera
 - Liquica
 - Manufahi
 - Oecussi"," "," "," - New Zealand
 - United States","Bilateral","Project Support","Appropriation Category Unallocated","Grant","United States Agency for International Development","United States"," "," ","Ministry of Agriculture and Fisheries","Ministry Agriculture & Fisheries - National Directorat of Plants Industry for agro-come","321301","ECONOMIC DEVELOPMENT","AGRICULTURE"," "
"87292505414"," "," "," ",""," ","UNESCO User (unesco@amp.org)","28/10/2013","UNESCO User (unesco@amp.org)","14/11/2013","01/01/2013","31/12/2013","","District Level","Timor-Leste","Dili"," "," ","United Nations","Multilateral","Project Support","Goods or Services","Grant","United Nations Educational, Scientific and Cultural Organization","United Nations"," "," "," "," "," ","SOCIAL CAPITAL","SOCIAL INCLUSION","Youth and Women Empowerment"
"87292505415"," "," "," ",""," ","UNESCO User (unesco@amp.org)","28/10/2013","GS NDAE (gsndae@amp.org)","20/12/2013","01/01/2013","31/12/2013","","Both"," "," "," "," ","United Nations","Multilateral","Project Support","Goods or Services","Grant","United Nations Educational, Scientific and Cultural Organization","United Nations"," "," ","Ministry of Social Solidarity"," "," ","SOCIAL CAPITAL","ENVIRONMENT"," "
"87292505416"," "," "," ",""," ","UNESCO User (unesco@amp.org)","28/10/2013","GS NDAE (gsndae@amp.org)","20/12/2013","01/01/2013","31/12/2013","","District Level","Timor-Leste","Liquica"," "," ","United Nations","Multilateral","Project Support","Goods or Services","Grant","United Nations Educational, Scientific and Cultural Organization","United Nations"," "," "," "," "," ","SOCIAL CAPITAL","ENVIRONMENT"," "
"87292505417"," "," "," ",""," ","UNESCO User (unesco@amp.org)","28/10/2013","GS NDAE (gsndae@amp.org)","20/12/2013","01/01/2013","31/12/2013","","District Level","Timor-Leste","Liquica"," "," ","United Nations","Multilateral","Project Support","Goods or Services","Grant","United Nations Educational, Scientific and Cultural Organization","United Nations"," "," "," "," "," ","SOCIAL CAPITAL","ENVIRONMENT"," "
"87292505418"," "," "," ",""," ","UNESCO User (unesco@amp.org)","29/10/2013","GS NDAE (gsndae@amp.org)","20/12/2013","01/01/2013","31/12/2013","","Both"," "," "," "," ","United Nations","Multilateral","Project Support","Goods or Services","Grant","United Nations Educational, Scientific and Cultural Organization","United Nations"," "," "," - Ministry of Agriculture and Fisheries
 - Ministry of Agriculture and Fisheries - Secretary of State for Forestry and Nature Conservation
 - Ministry of Commerce, Industry and Environment - Secretary of State for the Environment"," "," ","SOCIAL CAPITAL","ENVIRONMENT"," "
"87292505420"," "," ","Press Council Established alongside the Media Law",""," ","UNESCO User (unesco@amp.org)","29/10/2013","GS NDAE (gsndae@amp.org)","19/12/2013","01/01/2013","31/12/2013","","National","Timor-Leste"," "," "," ","United Nations","Multilateral","Project Support","Goods or Services","Grant","United Nations Educational, Scientific and Cultural Organization","United Nations"," "," "," "," "," ","INSTITUTIONAL FRAMEWORK","PUBLIC SECTOR MANAGEMENT AND GOOD GOVERNANCE","Institutional support"
"87292505421"," "," "," ",""," ","UNESCO User (unesco@amp.org)","29/10/2013","GS NDAE (gsndae@amp.org)","20/12/2013","01/01/2013","31/12/2013","","District Level","Timor-Leste","Dili"," "," ","United Nations","Multilateral","Project Support","Goods or Services","Grant","United Nations Educational, Scientific and Cultural Organization","United Nations"," "," "," "," "," ","SOCIAL CAPITAL","ENVIRONMENT"," "
"87292465433"," "," "," "," "," ","USAID User (usaid@amp.org)","06/11/2013","USAID User (usaid@amp.org)","06/11/2013","","","","National","Timor-Leste"," "," "," ","United States","Bilateral","Program Support","Appropriation Category Unallocated","Grant","United States Agency for International Development","United States","Ombudsman for Human Rights - Provedoria de Direitos Humanos","RDTL Line Ministry Division"," "," "," "," "," "," "
"87292465435"," "," ","The Civil Society Monitoring of Security Sector Development (CSM-SSD) project is to providing assistance to improve the Timor-Leste National Police's (PNTL) responsiveness to its citizens, and to enhance overall public safety and security. This program wi"," "," ","USAID User (usaid@amp.org)","06/11/2013","USAID User (usaid@amp.org)","06/11/2013","","","","District Level","Timor-Leste"," - Aileu
 - Baucau
 - Bobonaro
 - Liquica
 - Manatuto"," "," ","United States","Bilateral","Program Support","Appropriation Category Unallocated","Grant","United States Agency for International Development","United States","Belun","Domestic NGO"," "," "," "," "," "," "
"87292455454","Apoio ao Centro de Instrução Militar de Metinaro."," "," "," "," ","Portugal User (portugal@amp.org)","11/11/2013","Portugal User (portugal@amp.org)","18/12/2013","","","","National","Timor-Leste"," "," "," ","Portugal","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Portugal","Portugal"," "," "," "," "," ","INSTITUTIONAL FRAMEWORK","DEFENCE"," "
"87292455455","Apoiar a formação dos Oficiais e Sargentos das FDTL nos estabelecimentos de ensino militar.","Directly Supportive"," "," "," ","Portugal User (portugal@amp.org)","11/11/2013","Portugal User (portugal@amp.org)","18/12/2013","","","","National","Timor-Leste"," "," "," ","Portugal","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Portugal","Portugal"," "," "," "," "," ","INSTITUTIONAL FRAMEWORK","DEFENCE"," "
